name,ok,detail
make_final_exit_zero,yes,"exit=0; OK: 397 predictions validated

[validator]

[validate] /usr/bin/python3 /home/ma/Research/PhD/course/114_2/AI/hw2/hw2_D13922024/assert/validate_submission.py <TEMP_SUBMISSION>

Final submission written to: <TEMP_SUBMISSION>"
canonical_sha_matches_metadata,yes,16d56e36317dfdbe3e2372754def6ddeda8182f4bbfdd6723e8018eaa8a911dc
package_submission_matches_canonical,yes,16d56e36317dfdbe3e2372754def6ddeda8182f4bbfdd6723e8018eaa8a911dc
make_final_output_matches_canonical,yes,16d56e36317dfdbe3e2372754def6ddeda8182f4bbfdd6723e8018eaa8a911dc
make_final_rows_397,yes,397
validator_ok,yes,"OK: 397 predictions validated

[validator]

[validate] /usr/bin/python3 /home/ma/Research/PhD/course/114_2/AI/hw2/hw2_D13922024/assert/validate_submission.py <TEMP_SUBMISSION>

Final submission written to: <TEMP_SUBMISSION>"
readme_mentions_current_checkpoint,yes,final_current_private.csv
readme_mentions_current_candidate,yes,v1840b
readme_mentions_live_threshold,yes,0.52380
readme_no_old_default_v1856g,yes,old v1856g default string
readme_no_old_threshold,yes,0.50671
